,id,name,line/station
0,111,莘庄,01号线莘庄
1,112,外环路,01号线外环路
2,113,莲花路,01号线莲花路
3,114,锦江乐园,01号线锦江乐园
4,115,上海南站,01号线上海南站
5,116,漕宝路,01号线漕宝路
6,117,上海体育馆,01号线上海体育馆
7,118,徐家汇,01号线徐家汇
8,119,衡山路,01号线衡山路
9,120,常熟路,01号线常熟路
10,121,陕西南路,01号线陕西南路
11,122,黄陂南路,01号线黄陂南路
12,123,人民广场,01号线人民广场
13,124,新闸路,01号线新闸路
14,125,汉中路,01号线汉中路
15,126,上海火车站,01号线上海火车站
16,127,中山北路,01号线中山北路
17,128,延长路,01号线延长路
18,129,上海马戏城,01号线上海马戏城
19,130,汶水路,01号线汶水路
20,131,彭浦新村,01号线彭浦新村
21,132,共康路,01号线共康路
22,133,通河新村,01号线通河新村
23,134,呼兰路,01号线呼兰路
24,135,共富新村,01号线共富新村
25,136,宝安公路,01号线宝安公路
26,137,友谊西路,01号线友谊西路
27,138,富锦路,01号线富锦路
28,234,徐泾东,02号线徐泾东
29,235,虹桥火车站,02号线虹桥火车站
30,236,虹桥2号航站楼,02号线虹桥2号航站楼
31,237,淞虹路,02号线淞虹路
32,238,北新泾,02号线北新泾
33,239,威宁路,02号线威宁路
34,240,娄山关路,02号线娄山关路
35,241,中山公园,02号线中山公园
36,242,江苏路,02号线江苏路
37,243,静安寺,02号线静安寺
38,244,南京西路,02号线南京西路
39,246,南京东路,02号线南京东路
40,247,陆家嘴,02号线陆家嘴
41,248,东昌路,02号线东昌路
42,250,上海科技馆,02号线上海科技馆
43,251,世纪公园,02号线世纪公园
44,252,龙阳路,02号线龙阳路
45,253,张江高科,02号线张江高科
46,254,金科路,02号线金科路
47,255,广兰路,02号线广兰路
48,256,唐镇,02号线唐镇
49,257,创新中路,02号线创新中路
50,258,华夏东路,02号线华夏东路
51,259,川沙,02号线川沙
52,260,凌空路,02号线凌空路
53,261,远东大道,02号线远东大道
54,262,海天三路,02号线海天三路
55,263,浦东国际机场,02号线浦东国际机场
56,311,上海南站,03号线上海南站
57,312,石龙路,03号线石龙路
58,313,龙漕路,03号线龙漕路
59,314,漕溪路,03号线漕溪路
60,315,宜山路,03号线宜山路
61,316,虹桥路,03号线虹桥路
62,317,延安西路,03号线延安西路
63,318,中山公园,03号线中山公园
64,319,金沙江路,03号线金沙江路
65,320,曹杨路,03号线曹杨路
66,321,镇坪路,03号线镇坪路
67,322,中潭路,03号线中潭路
68,323,上海火车站,03号线上海火车站
69,324,宝山路,03号线宝山路
70,325,东宝兴路,03号线东宝兴路
71,326,虹口足球场,03号线虹口足球场
72,327,赤峰路,03号线赤峰路
73,328,大柏树,03号线大柏树
74,329,江湾镇,03号线江湾镇
75,330,殷高西路,03号线殷高西路
76,331,长江南路,03号线长江南路
77,332,淞发路,03号线淞发路
78,333,张华浜,03号线张华浜
79,334,淞滨路,03号线淞滨路
80,335,水产路,03号线水产路
81,336,宝杨路,03号线宝杨路
82,337,友谊路,03号线友谊路
83,338,铁力路,03号线铁力路
84,339,江杨北路,03号线江杨北路
85,401,上海体育馆,04号线上海体育馆
86,402,宜山路,04号线宜山路
87,412,海伦路,04号线海伦路
88,413,临平路,04号线临平路
89,414,大连路,04号线大连路
90,415,杨树浦路,04号线杨树浦路
91,416,浦东大道,04号线浦东大道
92,417,世纪大道,04号线世纪大道
93,418,浦电路,04号线浦电路
94,419,蓝村路,04号线蓝村路
95,420,塘桥,04号线塘桥
96,421,南浦大桥,04号线南浦大桥
97,423,鲁班路,04号线鲁班路
98,424,大木桥路,04号线大木桥路
99,425,东安路,04号线东安路
100,426,上海体育场,04号线上海体育场
101,502,春申路,05号线春申路
102,503,银都路,05号线银都路
103,505,颛桥,05号线颛桥
104,507,北桥,05号线北桥
105,508,剑川路,05号线剑川路
106,509,东川路,05号线东川路
107,510,金平路,05号线金平路
108,511,华宁路,05号线华宁路
109,512,文井路,05号线文井路
110,513,闵行开发区,05号线闵行开发区
111,621,东方体育中心,06号线东方体育中心
112,622,灵岩南路,06号线灵岩南路
113,623,上南路,06号线上南路
114,624,华夏西路,06号线华夏西路
115,625,高青路,06号线高青路
116,626,东明路,06号线东明路
117,627,高科西路,06号线高科西路
118,628,临沂新村 ,06号线临沂新村
119,629,上海儿童医学中心,06号线上海儿童医学中心
120,630,蓝村路,06号线蓝村路
121,631,浦电路 ,06号线浦电路
122,633,源深体育中心,06号线源深体育中心
123,634,民生路,06号线民生路
124,635,北洋泾路,06号线北洋泾路
125,636,德平路,06号线德平路
126,637,云山路,06号线云山路
127,638,金桥路,06号线金桥路
128,639,博兴路,06号线博兴路
129,640,五莲路,06号线五莲路
130,641,巨峰路,06号线巨峰路
131,642,东靖路,06号线东靖路
132,643,五洲大道,06号线五洲大道
133,644,洲海路,06号线洲海路
134,645,外高桥保税区南站,06号线外高桥保税区南
135,646,航津路,06号线航津路
136,647,外高桥保税区北站,06号线外高桥保税区北
137,648,港城路,06号线港城路
138,721,美兰湖,07号线美兰湖
139,722,罗南新村,07号线罗南新村
140,723,潘广路,07号线潘广路
141,724,刘行,07号线刘行
142,725,顾村公园,07号线顾村公园
143,726,祁华路,07号线祁华路
144,727,上海大学,07号线上海大学
145,728,南陈路,07号线南陈路
146,729,上大路,07号线上大路
147,730,场中路,07号线场中路
148,731,大场镇,07号线大场镇
149,732,行知路,07号线行知路
150,733,大华三路,07号线大华三路
151,734,新村路,07号线新村路
152,735,岚皋路,07号线岚皋路
153,736,镇坪路,07号线镇坪路
154,737,长寿路,07号线长寿路
155,738,昌平路,07号线昌平路
156,739,静安寺,07号线静安寺
157,740,常熟路,07号线常熟路
158,741,肇嘉浜路,07号线肇嘉浜路
159,742,东安路,07号线东安路
160,743,龙华中路,07号线龙华中路
161,744,后滩,07号线后滩
162,745,长清路,07号线长清路
163,747,云台路,07号线云台路
164,749,杨高南路,07号线杨高南路
165,750,锦绣路,07号线锦绣路
166,751,芳华路,07号线芳华路
167,752,龙阳路,07号线龙阳路
168,753,花木路,07号线花木路
169,820,沈杜公路,08号线沈杜公路
170,821,联航路,08号线联航路
171,822,江月路,08号线江月路
172,823,浦江镇,08号线浦江镇
173,824,芦恒路,08号线芦恒路
174,825,凌兆新村,08号线凌兆新村
175,827,杨思,08号线杨思
176,828,成山路,08号线成山路
177,829,耀华路,08号线耀华路
178,830,中华艺术宫,08号线中华艺术宫
179,831,西藏南路,08号线西藏南路
180,832,陆家浜路,08号线陆家浜路
181,833,老西门,08号线老西门
182,834,大世界,08号线大世界
183,835,人民广场,08号线人民广场
184,836,曲阜路,08号线曲阜路
185,837,中兴路,08号线中兴路
186,838,西藏北路,08号线西藏北路
187,839,虹口足球场,08号线虹口足球场
188,840,曲阳路,08号线曲阳路
189,841,四平路,08号线四平路
190,842,鞍山新村,08号线鞍山新村
191,843,江浦路,08号线江浦路
192,844,黄兴路,08号线黄兴路
193,845,延吉中路,08号线延吉中路
194,846,黄兴公园,08号线黄兴公园
195,847,翔殷路,08号线翔殷路
196,848,嫩江路,08号线嫩江路
197,849,市光路,08号线市光路
198,918,松江南站,09号线松江南站
199,919,醉白池,09号线醉白池
200,920,松江体育中心,09号线松江体育中心
201,921,松江新城,09号线松江新城
202,922,松江大学城,09号线松江大学城
203,923,洞泾,09号线洞泾
204,924,佘山,09号线佘山
205,925,泗泾,09号线泗泾
206,926,九亭,09号线九亭
207,927,中春路,09号线中春路
208,928,七宝,09号线七宝
209,929,星中路,09号线星中路
210,930,合川路,09号线合川路
211,931,漕河泾开发区,09号线漕河泾开发区
212,932,桂林路,09号线桂林路
213,933,宜山路,09号线宜山路
214,934,徐家汇,09号线徐家汇
215,936,嘉善路,09号线嘉善路
216,937,打浦桥,09号线打浦桥
217,938,马当路,09号线马当路
218,940,小南门,09号线小南门
219,941,商城路,09号线商城路
220,943,杨高中路,09号线杨高中路
221,1018,航中路,10号线航中路
222,1019,紫藤路,10号线紫藤路
223,1020,龙柏新村,10号线龙柏新村
224,1043,虹桥1号航站楼,10号线虹桥1号航站楼
225,1044,上海动物园,10号线上海动物园
226,1045,龙溪路,10号线龙溪路
227,1046,水城路,10号线水城路
228,1047,伊犁路,10号线伊犁路
229,1048,宋园路,10号线宋园路
230,1049,虹桥路,10号线虹桥路
231,1050,交通大学,10号线交通大学
232,1051,上海图书馆,10号线上海图书馆
233,1052,陕西南路,10号线陕西南路
234,1053,新天地,10号线新天地
235,1055,豫园,10号线豫园
236,1056,南京东路,10号线南京东路
237,1057,天潼路,10号线天潼路
238,1058,四川北路,10号线四川北路
239,1059,海伦路,10号线海伦路
240,1060,邮电新村,10号线邮电新村
241,1062,同济大学,10号线同济大学
242,1063,国权路,10号线国权路
243,1064,五角场,10号线五角场
244,1065,江湾体育场,10号线江湾体育场
245,1066,三门路,10号线三门路
246,1067,殷高东路 ,10号线殷高东路
247,1068,新江湾城,10号线新江湾城
248,1114,花桥,11号线花桥
249,1115,光明路,11号线光明路
250,1116,兆丰路,11号线兆丰路
251,1117,安亭,11号线安亭
252,1118,上海汽车城,11号线上海汽车城
253,1119,昌吉东路,11号线昌吉东路
254,1120,上海赛车场,11号线上海赛车场
255,1131,嘉定北,11号线嘉定北
256,1132,嘉定西,11号线嘉定西
257,1133,白银路,11号线白银路
258,1134,嘉定新城,11号线嘉定新城
259,1135,马陆,11号线马陆
260,1137,南翔,11号线南翔
261,1138,桃浦新村,11号线桃浦新村
262,1139,武威路,11号线武威路
263,1140,祁连山路,11号线祁连山路
264,1141,李子园,11号线李子园
265,1142,上海西站,11号线上海西站
266,1143,真如,11号线真如
267,1144,枫桥路,11号线枫桥路
268,1145,曹杨路,11号线曹杨路
269,1146,隆德路,11号线隆德路
270,1147,江苏路,11号线江苏路
271,1150,上海游泳馆,11号线上海游泳馆
272,1151,龙华,11号线龙华
273,1152,云锦路,11号线云锦路
274,1153,龙耀路,11号线龙耀路
275,1155,三林,11号线三林
276,1156,三林东,11号线三林东
277,1157,浦三路,11号线浦三路
278,1159,御桥,11号线御桥
279,1160,罗山路,11号线罗山路
280,1238,国际客运中心,12号线国际客运中心
281,1239,提篮桥,12号线提篮桥
282,1241,江浦公园,12号线江浦公园
283,1242,宁国路,12号线宁国路
284,1243,隆昌路,12号线隆昌路
285,1244,爱国路,12号线爱国路
286,1245,复兴岛,12号线复兴岛
287,1246,东陆路,12号线东陆路
288,1247,巨峰路,12号线巨峰路
289,1248,杨高北路,12号线杨高北路
290,1249,金京路,12号线金京路
291,1250,申江路,12号线申江路
292,1251,金海路,12号线金海路
293,1321,金运路,13号线金运路
294,1322,金沙江西路,13号线金沙江西路
295,1323,丰庄,13号线丰庄
296,1324,祁连山南路,13号线祁连山南路
297,1325,真北路,13号线真北路
298,1326,大渡河路,13号线大渡河路
299,1327,金沙江路,13号线金沙江路
300,1329,武宁路,13号线武宁路
301,1621,龙阳路,16号线龙阳路
302,1622,华夏中路,16号线华夏中路
303,1624,周浦东,16号线周浦东
304,1625,鹤沙航城,16号线鹤沙航城
305,1626,航头东,16号线航头东
306,1627,新场,16号线新场
307,1628,野生动物园,16号线野生动物园
308,1629,惠南,16号线惠南
309,1630,惠南东,16号线惠南东
310,1631,书院,16号线书院
311,1632,临港大道,16号线临港大道
312,1633,滴水湖,16号线滴水湖
